TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
300000000.0	638598.2	596936.3	683167.8
302000000.0	638825.6	597066.3	683505.7
304000000.0	639050.4	597194.6	683839.7
306000000.0	639272.4	597321.3	684169.9
308000000.0	639491.9	597446.5	684496.2
310000000.0	639708.9	597570.2	684818.9
312000000.0	639923.3	597692.5	685138.0
314000000.0	640135.2	597813.2	685453.4
316000000.0	640344.7	597932.5	685765.3
318000000.0	640551.9	598050.4	686073.8
320000000.0	640756.7	598166.9	686378.9
322000000.0	640959.2	598282.1	686680.6
324000000.0	641159.4	598395.9	686979.0
326000000.0	641357.4	598508.4	687274.2
328000000.0	641553.3	598619.6	687566.2
330000000.0	641746.9	598729.5	687855.0
332000000.0	641938.5	598838.2	688140.8
334000000.0	642127.9	598945.7	688423.5
336000000.0	642315.4	599051.9	688703.3
338000000.0	642500.8	599156.9	688980.1
340000000.0	642684.2	599260.8	689254.1
342000000.0	642865.6	599363.5	689525.1
344000000.0	643045.2	599465.1	689793.4
346000000.0	643222.8	599565.6	690058.9
348000000.0	643398.6	599665.0	690321.8
350000000.0	643572.6	599763.3	690581.9
352000000.0	643744.7	599860.5	690839.4
354000000.0	643915.1	599956.7	691094.3
356000000.0	644083.8	600051.9	691346.7
358000000.0	644254.2	600149.5	691600.0
360000000.0	644426.8	600250.1	691854.8
362000000.0	644597.7	600349.6	692107.1
364000000.0	644766.9	600448.2	692356.9
366000000.0	644934.5	600545.7	692604.3
368000000.0	645100.4	600642.2	692849.3
370000000.0	645264.6	600737.7	693091.9
372000000.0	645427.3	600832.3	693332.3
374000000.0	645588.4	600925.9	693570.3
376000000.0	645747.9	601018.6	693806.1
378000000.0	645905.9	601110.3	694039.7
380000000.0	646062.4	601201.2	694271.1
382000000.0	646217.4	601291.2	694500.3
384000000.0	646370.9	601380.3	694727.4
386000000.0	646523.0	601468.5	694952.4
388000000.0	646673.6	601555.8	695175.3
390000000.0	646822.8	601642.3	695396.2
392000000.0	646970.7	601728.0	695615.0
394000000.0	647117.1	601812.9	695831.9
396000000.0	647262.3	601896.9	696046.8
398000000.0	647406.1	601980.2	696259.8
400000000.0	647548.5	602062.7	696470.9
402000000.0	647689.7	602144.4	696680.1
404000000.0	647829.6	602225.3	696887.4
406000000.0	647968.3	602305.5	697092.9
408000000.0	648105.7	602384.9	697296.6
410000000.0	648241.9	602463.6	697498.5
412000000.0	648376.8	602541.6	697698.7
414000000.0	648510.6	602618.9	697897.1
416000000.0	648643.2	602695.5	698093.8
418000000.0	648774.6	602771.3	698288.8
420000000.0	648904.9	602846.5	698482.2
422000000.0	649034.0	602921.0	698673.9
424000000.0	649162.1	602994.9	698864.0
426000000.0	649289.0	603068.1	699052.4
428000000.0	649414.8	603140.6	699239.3
430000000.0	649539.6	603212.5	699424.6
432000000.0	649663.3	603283.7	699608.4
434000000.0	649785.9	603354.4	699790.6
436000000.0	649907.5	603424.4	699971.4
438000000.0	650028.1	603493.8	700150.6
440000000.0	650147.7	603562.6	700328.4
442000000.0	650266.3	603630.9	700504.7
444000000.0	650383.9	603698.5	700679.6
446000000.0	650500.5	603765.6	700853.0
448000000.0	650616.2	603832.0	701025.1
450000000.0	650730.9	603898.0	701195.8
452000000.0	650844.7	603963.3	701365.1
454000000.0	650957.5	604028.2	701533.1
456000000.0	651069.5	604092.4	701699.7
458000000.0	651180.5	604156.2	701865.0
460000000.0	651290.7	604219.4	702029.0
462000000.0	651400.0	604282.1	702191.7
464000000.0	651508.3	604344.3	702353.2
466000000.0	651615.9	604405.9	702513.4
