TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
9549000000.0	246619608.2	231566356.3	262651415.0
9550000000.0	246620719.8	231567279.3	262652735.9
9551000000.0	246621831.2	231568202.1	262654056.4
9552000000.0	246622942.4	231569124.7	262655376.8
9553000000.0	246624053.3	231570047.1	262656696.8
9554000000.0	246625164.0	231570969.3	262658016.6
9555000000.0	246626274.5	231571891.4	262659336.2
9556000000.0	246627384.7	231572813.2	262660655.5
9557000000.0	246628494.8	231573734.9	262661974.5
9558000000.0	246629604.6	231574656.3	262663293.3
9559000000.0	246630714.2	231575577.6	262664611.8
9560000000.0	246631823.6	231576498.7	262665930.0
9561000000.0	246632932.7	231577419.7	262667248.0
9562000000.0	246634041.7	231578340.4	262668565.7
9563000000.0	246635150.4	231579260.9	262669883.1
9564000000.0	246636258.9	231580181.3	262671200.3
9565000000.0	246637367.2	231581101.5	262672517.3
9566000000.0	246638475.2	231582021.5	262673834.0
9567000000.0	246639583.0	231582941.3	262675150.4
9568000000.0	246640690.7	231583860.9	262676466.5
9569000000.0	246641798.0	231584780.3	262677782.4
9570000000.0	246642905.2	231585699.6	262679098.0
9571000000.0	246644012.2	231586618.7	262680413.4
9572000000.0	246645118.9	231587537.5	262681728.5
9573000000.0	246646225.4	231588456.2	262683043.4
9574000000.0	246647331.7	231589374.7	262684358.0
9575000000.0	246648437.7	231590293.1	262685672.3
9576000000.0	246649543.6	231591211.2	262686986.4
9577000000.0	246650649.2	231592129.2	262688300.2
9578000000.0	246651754.6	231593046.9	262689613.7
9579000000.0	246652859.8	231593964.5	262690927.0
9580000000.0	246653964.7	231594881.9	262692240.1
9581000000.0	246655069.5	231595799.1	262693552.8
9582000000.0	246656174.0	231596716.2	262694865.4
9583000000.0	246657278.3	231597633.0	262696177.6
9584000000.0	246658382.4	231598549.7	262697489.6
9585000000.0	246659486.2	231599466.2	262698801.3
9586000000.0	246660589.9	231600382.5	262700112.8
9587000000.0	246661693.3	231601298.6	262701424.0
9588000000.0	246662796.5	231602214.5	262702735.0
9589000000.0	246663899.5	231603130.2	262704045.7
9590000000.0	246665002.2	231604045.8	262705356.1
9591000000.0	246666104.8	231604961.2	262706666.3
9592000000.0	246667207.1	231605876.4	262707976.2
9593000000.0	246668309.2	231606791.4	262709285.9
