TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
3397000000.0	61246168.3	50591939.4	74144086.6
3398000000.0	61247531.0	50591305.4	74148315.1
3399000000.0	61248893.0	50590671.3	74152542.2
3400000000.0	61250254.2	50590037.0	74156768.1
3401000000.0	61251614.7	50589402.5	74160992.6
3402000000.0	61252974.5	50588767.9	74165215.9
3403000000.0	61254333.6	50588133.0	74169437.8
3404000000.0	61255692.0	50587498.1	74173658.5
3405000000.0	61257049.7	50586862.9	74177877.8
3406000000.0	61258406.6	50586227.6	74182095.9
3407000000.0	61259762.9	50585592.1	74186312.6
3408000000.0	61261118.4	50584956.4	74190528.0
3409000000.0	61262473.2	50584320.6	74194742.2
3410000000.0	61263827.3	50583684.6	74198955.0
3411000000.0	61265180.7	50583048.4	74203166.6
3412000000.0	61266533.4	50582412.1	74207376.9
3413000000.0	61267885.4	50581775.6	74211585.8
3414000000.0	61269236.7	50581138.9	74215793.5
3415000000.0	61270587.2	50580502.1	74219999.9
3416000000.0	61271937.1	50579865.1	74224205.0
3417000000.0	61273286.2	50579227.9	74228408.8
3418000000.0	61274634.7	50578590.6	74232611.3
3419000000.0	61275982.4	50577953.1	74236812.5
3420000000.0	61277329.4	50577315.5	74241012.4
3421000000.0	61278675.8	50576677.6	74245211.0
3422000000.0	61280021.4	50576039.7	74249408.4
3423000000.0	61281366.3	50575401.5	74253604.4
3424000000.0	61282710.5	50574763.2	74257799.2
3425000000.0	61284054.0	50574124.7	74261992.7
3426000000.0	61285396.9	50573486.1	74266184.9
3427000000.0	61286739.0	50572847.3	74270375.8
3428000000.0	61288080.4	50572208.3	74274565.5
3429000000.0	61289421.1	50571569.2	74278753.8
3430000000.0	61290761.1	50570929.9	74282940.9
3431000000.0	61292100.4	50570290.4	74287126.7
3432000000.0	61293439.0	50569650.8	74291311.2
3433000000.0	61294776.9	50569011.1	74295494.4
3434000000.0	61296114.1	50568371.1	74299676.4
3435000000.0	61297450.7	50567731.0	74303857.1
3436000000.0	61298786.5	50567090.8	74308036.5
3437000000.0	61300121.6	50566450.4	74312214.6
3438000000.0	61301456.1	50565809.8	74316391.4
3439000000.0	61302789.8	50565169.1	74320567.0
3440000000.0	61304122.8	50564528.2	74324741.3
3441000000.0	61305455.2	50563887.2	74328914.3
3442000000.0	61306786.8	50563246.0	74333086.0
3443000000.0	61308117.8	50562604.6	74337256.5
3444000000.0	61309448.1	50561963.1	74341425.7
3445000000.0	61310777.7	50561321.4	74345593.7
3446000000.0	61312106.5	50560679.6	74349760.3
3447000000.0	61313434.7	50560037.6	74353925.7
3448000000.0	61314762.2	50559395.5	74358089.8
3449000000.0	61316089.1	50558753.2	74362252.7
3450000000.0	61317415.2	50558110.7	74366414.3
3451000000.0	61318740.6	50557468.1	74370574.6
3452000000.0	61320065.4	50556825.3	74374733.7
3453000000.0	61321389.5	50556182.4	74378891.5
3454000000.0	61322712.8	50555539.4	74383048.0
3455000000.0	61324035.5	50554896.1	74387203.3
3456000000.0	61325357.5	50554252.8	74391357.3
3457000000.0	61326678.9	50553609.2	74395510.0
3458000000.0	61327999.5	50552965.6	74399661.5
3459000000.0	61329319.5	50552321.7	74403811.7
3460000000.0	61330638.7	50551677.7	74407960.6
3461000000.0	61331957.3	50551033.6	74412108.3
3462000000.0	61333275.2	50550389.3	74416254.8
