TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
131000000.0	42987.4	38306.0	48241.0
132000000.0	42998.0	38304.5	48266.7
133000000.0	43008.4	38302.9	48292.1
134000000.0	43018.7	38301.2	48317.2
135000000.0	43028.8	38299.6	48342.0
136000000.0	43038.8	38298.0	48366.6
137000000.0	43048.7	38296.3	48390.9
138000000.0	43058.4	38294.6	48414.8
139000000.0	43068.0	38293.0	48438.6
140000000.0	43077.5	38291.3	48462.0
141000000.0	43086.9	38289.5	48485.2
142000000.0	43096.1	38287.8	48508.2
143000000.0	43105.2	38286.1	48530.8
144000000.0	43114.2	38284.4	48553.3
145000000.0	43123.0	38282.6	48575.5
146000000.0	43131.8	38280.8	48597.4
147000000.0	43140.4	38279.1	48619.2
148000000.0	43149.0	38277.3	48640.7
149000000.0	43157.4	38275.5	48661.9
150000000.0	43165.7	38273.7	48683.0
151000000.0	43173.9	38271.9	48703.8
152000000.0	43182.1	38270.1	48724.4
153000000.0	43190.1	38268.3	48744.8
154000000.0	43198.0	38266.5	48765.0
155000000.0	43205.8	38264.7	48785.0
156000000.0	43213.5	38262.9	48804.7
157000000.0	43221.2	38261.1	48824.3
158000000.0	43228.7	38259.2	48843.7
159000000.0	43236.2	38257.4	48862.9
160000000.0	43243.6	38255.6	48881.9
161000000.0	43250.8	38253.8	48900.7
162000000.0	43258.1	38251.9	48919.3
163000000.0	43265.2	38250.1	48937.8
164000000.0	43272.2	38248.2	48956.1
165000000.0	43279.2	38246.4	48974.2
166000000.0	43286.0	38244.6	48992.1
167000000.0	43292.8	38242.7	49009.8
168000000.0	43299.6	38240.9	49027.4
169000000.0	43306.2	38239.1	49044.8
170000000.0	43312.8	38237.2	49062.1
171000000.0	43319.3	38235.4	49079.2
172000000.0	43325.7	38233.5	49096.1
173000000.0	43332.1	38231.7	49112.9
174000000.0	43338.4	38229.9	49129.5
175000000.0	43344.6	38228.0	49146.0
176000000.0	43350.7	38226.2	49162.3
177000000.0	43356.8	38224.4	49178.5
178000000.0	43362.9	38222.5	49194.5
179000000.0	43368.8	38220.7	49210.4
180000000.0	43374.7	38218.9	49226.1
181000000.0	43380.6	38217.0	49241.7
182000000.0	43386.3	38215.2	49257.2
183000000.0	43392.1	38213.4	49272.5
184000000.0	43397.7	38211.6	49287.7
185000000.0	43403.3	38209.8	49302.8
186000000.0	43408.9	38207.9	49317.7
187000000.0	43414.3	38206.1	49332.5
188000000.0	43419.8	38204.3	49347.2
189000000.0	43425.2	38202.5	49361.8
190000000.0	43430.5	38200.7	49376.2
191000000.0	43435.7	38198.9	49390.5
192000000.0	43441.0	38197.1	49404.7
193000000.0	43446.1	38195.3	49418.8
194000000.0	43451.3	38193.6	49432.7
195000000.0	43456.3	38191.8	49446.6
196000000.0	43461.3	38190.0	49460.3
197000000.0	43466.3	38188.2	49473.9
198000000.0	43471.2	38186.4	49487.4
199000000.0	43476.1	38184.7	49500.8
200000000.0	43480.9	38182.9	49514.1
201000000.0	43485.7	38181.1	49527.3
202000000.0	43490.5	38179.4	49540.3
203000000.0	43495.1	38177.6	49553.3
204000000.0	43499.8	38175.9	49566.2
205000000.0	43504.4	38174.2	49578.9
206000000.0	43509.0	38172.4	49591.6
207000000.0	43513.5	38170.7	49604.1
208000000.0	43518.0	38169.0	49616.6
209000000.0	43522.4	38167.2	49629.0
210000000.0	43526.8	38165.5	49641.2
211000000.0	43531.2	38163.8	49653.4
212000000.0	43535.5	38162.1	49665.5
213000000.0	43539.8	38160.4	49677.5
214000000.0	43544.0	38158.7	49689.4
215000000.0	43548.2	38157.0	49701.2
216000000.0	43552.4	38155.3	49712.9
217000000.0	43556.5	38153.6	49724.6
218000000.0	43560.6	38151.9	49736.1
219000000.0	43564.7	38150.2	49747.6
220000000.0	43568.7	38148.6	49758.9
221000000.0	43572.7	38146.9	49770.2
